card_tx_id,card_id,date,merchant_category,amount_mxn,currency,card_program_variant
CCT00000056,CC0000001,2022-01-11,Electronics,-439.36,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000069,CC0000001,2022-01-12,Online,-69.4,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000075,CC0000001,2022-01-13,Fuel,-189.85,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000005,CC0000001,2022-01-23,Electronics,-354.24,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000006,CC0000001,2022-02-02,Restaurants,-652.91,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000001,CC0000001,2022-02-03,Electronics,-1050.11,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000100,CC0000001,2022-02-08,Refund,563.86,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000015,CC0000001,2022-02-17,Travel,-638.54,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000012,CC0000001,2022-02-18,Electronics,-375.88,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000073,CC0000001,2022-03-06,Pharmacy,-111.22,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000037,CC0000001,2022-03-07,Pharmacy,-542.58,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000060,CC0000001,2022-03-19,Fuel,-1714.3,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000098,CC0000001,2022-03-28,Refund,46.28,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000050,CC0000001,2022-04-04,Groceries,-798.22,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000023,CC0000001,2022-04-15,Groceries,-236.93,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000010,CC0000001,2022-04-28,Groceries,-1088.64,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000029,CC0000001,2022-05-01,Travel,-458.76,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000059,CC0000001,2022-05-12,Restaurants,-721.8,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000026,CC0000001,2022-06-26,Online,-647.99,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000038,CC0000001,2022-06-30,Travel,-887.13,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000074,CC0000001,2022-07-10,Fuel,-355.83,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000011,CC0000001,2022-07-22,Travel,-1089.58,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000020,CC0000001,2022-08-12,Refund,588.04,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000021,CC0000001,2022-08-12,Refund,281.27,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000040,CC0000001,2022-08-20,Travel,-205.64,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000083,CC0000001,2022-08-24,Electronics,-10.47,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000053,CC0000001,2022-09-06,Electronics,-12.31,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000101,CC0000001,2022-09-13,Restaurants,-500.21,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000076,CC0000001,2022-09-23,Online,-102.83,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000019,CC0000001,2022-09-25,Restaurants,-860.11,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000080,CC0000001,2022-09-29,Travel,-1916.31,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000091,CC0000001,2022-10-06,Refund,1551.45,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000099,CC0000001,2022-10-08,Pharmacy,-1764.96,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000086,CC0000001,2022-10-14,Restaurants,-68.89,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000064,CC0000001,2022-10-15,Electronics,-110.75,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000041,CC0000001,2022-10-16,Online,-349.05,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000093,CC0000001,2022-10-20,Fuel,-1463.82,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000035,CC0000001,2022-11-04,Fuel,-1439.64,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000031,CC0000001,2022-11-05,Fuel,-896.71,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000088,CC0000001,2022-11-09,Pharmacy,-1767.09,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000057,CC0000001,2022-11-17,Online,-1050.69,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000007,CC0000001,2022-11-25,Pharmacy,-1484.11,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000034,CC0000001,2022-12-01,Travel,-337.74,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000082,CC0000001,2022-12-14,Pharmacy,-1205.29,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000097,CC0000001,2022-12-14,Restaurants,-564.56,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000067,CC0000001,2022-12-22,Refund,480.62,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000090,CC0000001,2022-12-24,Online,-316.36,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000063,CC0000001,2023-01-09,Online,-1062.78,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
