transaction_id,account_id,date,type,description,merchant_category,amount,currency
TX00000001,AC000001,2023-08-08,Withdrawal,Withdrawal,,-2023.52,MXN
TX00000002,AC000001,2022-01-01,POS Purchase,POS - Online,Online,-376.75,MXN
TX00000003,AC000001,2023-06-15,Deposit,Deposit,,5522.53,MXN
TX00000004,AC000001,2022-03-02,POS Purchase,POS - Electronics,Electronics,-217.52,MXN
TX00000005,AC000001,2023-06-16,Withdrawal,Withdrawal,,-271.97,MXN
TX00000006,AC000001,2022-04-27,Deposit,Deposit,,6161.56,MXN
TX00000007,AC000001,2023-05-16,POS Purchase,POS - Groceries,Groceries,-110.11,MXN
TX00000008,AC000001,2022-04-04,Transfer In,Transfer In,,1468.47,MXN
TX00000009,AC000001,2023-02-05,Withdrawal,Withdrawal,,-179.92,MXN
TX00000010,AC000001,2023-08-07,POS Purchase,POS - Travel,Travel,-159.05,MXN
TX00000011,AC000001,2022-10-18,POS Purchase,POS - Fuel,Fuel,-369.41,MXN
TX00000012,AC000001,2022-03-05,Withdrawal,Withdrawal,,-484.44,MXN
TX00000013,AC000001,2023-10-18,POS Purchase,POS - Pharmacy,Pharmacy,-1226.67,MXN
TX00000014,AC000001,2022-08-23,POS Purchase,POS - Online,Online,-890.09,MXN
TX00000015,AC000001,2022-12-26,Withdrawal,Withdrawal,,-285.25,MXN
TX00000016,AC000001,2023-05-05,POS Purchase,POS - Restaurants,Restaurants,-676.46,MXN
TX00000017,AC000001,2023-12-27,Transfer Out,Transfer Out,,-550.0,MXN
TX00000018,AC000001,2023-12-27,POS Purchase,POS - Travel,Travel,-1537.9,MXN
TX00000019,AC000001,2023-02-06,Transfer Out,Transfer Out,,-1998.83,MXN
TX00000020,AC000001,2022-10-16,Deposit,Deposit,,4912.64,MXN
TX00000021,AC000001,2023-12-28,POS Purchase,POS - Travel,Travel,-185.51,MXN
TX00000022,AC000001,2022-07-27,Deposit,Deposit,,4320.21,MXN
TX00000023,AC000001,2022-04-12,Transfer Out,Transfer Out,,-907.76,MXN
TX00000024,AC000001,2023-11-23,Deposit,Deposit,,1239.14,MXN
TX00000025,AC000001,2022-11-28,POS Purchase,POS - Electronics,Electronics,-975.3,MXN
TX00000026,AC000001,2023-10-30,Withdrawal,Withdrawal,,-3998.0,MXN
TX00000027,AC000001,2023-12-04,Transfer Out,Transfer Out,,-3563.1,MXN
TX00000028,AC000001,2022-10-12,Transfer In,Transfer In,,3746.89,MXN
TX00000029,AC000001,2023-02-21,Withdrawal,Withdrawal,,-1178.79,MXN
TX00000030,AC000001,2023-08-29,Transfer Out,Transfer Out,,-1201.61,MXN
TX00000031,AC000001,2022-07-01,Withdrawal,Withdrawal,,-696.42,MXN
TX00000032,AC000001,2023-06-19,POS Purchase,POS - Fuel,Fuel,-280.58,MXN
TX00000033,AC000001,2023-10-28,POS Purchase,POS - Travel,Travel,-566.25,MXN
TX00000034,AC000001,2022-02-02,Deposit,Deposit,,2060.63,MXN
TX00000035,AC000001,2022-01-07,POS Purchase,POS - Online,Online,-89.86,MXN
TX00000036,AC000001,2022-05-08,Deposit,Deposit,,2801.19,MXN
TX00000037,AC000001,2023-12-22,Deposit,Deposit,,612.64,MXN
TX00000038,AC000001,2023-11-18,POS Purchase,POS - Fuel,Fuel,-1255.44,MXN
TX00000039,AC000001,2023-01-02,POS Purchase,POS - Travel,Travel,-648.85,MXN
TX00000040,AC000001,2022-07-03,Transfer In,Transfer In,,6792.11,MXN
TX00000041,AC000001,2023-02-19,Fee,Fee,,-99.53,MXN
TX00000042,AC000001,2022-10-04,POS Purchase,POS - Fuel,Fuel,-899.46,MXN
TX00000043,AC000001,2023-11-13,POS Purchase,POS - Pharmacy,Pharmacy,-885.62,MXN
